type,sess_id,speaker_1_id,query,speaker_2_id,reply,system_response,gen_reply
test,4-16136-4,11208,하루가 지났네요. 운동복은 사셨어요?,32383,네~ 상하의로 사고 왔어요~ 런닝화는 사셨나요?,네~ 오늘은 옷이 너무 비싸서 인터넷으로 옷을 샀어요!,네~ 오늘은 옷이 너무 비싸서 인터넷으로 옷을 샀어요!
test,4-66473-4,13295,저희 일주일만이네요! 잘 지내셨나요?,51876,벌써 일주일이 지났네요 시간이 너무 빨리 가네요,네 잘 지냈어요~ <unk>이름<unk>은요?,네 잘 지냈어요~ 이름은요?
test,4-66473-4,13295,그러게요! 저는 버스타고 있는데 손소독제가 비치되어 있는것을 보니 위생적으로 관리를 해서 좋네요,51876,최근에는 손소독제를 거의 사용하지 않는 것 같아요.,아 그렇군요! 저도 손 소독제를 가지고 다녀야겠어요!,아 그렇군요! 저도 손 소독제를 가지고 다녀야겠어요!
test,4-15118-4,20541,안녕하세요. 지난 2일간 잘지내셨나요?,32432,네 저는 잘지냈어요! 잘지냈나요?,네 잘 지냈어요. 요즘 날씨가 많이 추워졌죠?,네 잘 지냈어요. 요즘 날씨가 많이 추워졌죠?
test,4-02284-4,41214,안녕하세요~ 3주만에 연락드려요~ 잘지내셨나요??? 아이가 몇살인가요? 우리아이는 어리지만 어떻게 키워야 할지 뭐가 적성에 맞는지 걱정입니다.,32445,저도 아이가 초등이라 앞으로 어떻게 될지는 모르지만 저는 아이가 스스로 선택하고 원하는 것이 있을 때는 응원해주려고 합니다,네 잘 지냈어요. 저는 요즘에 코로나에 걸려서 격리중이에요.,네 잘 지냈어요. 저는 요즘에 코로나에 걸려서 격리중이에요.
test,4-22109-4,41209,안녕하세요. 3주만에 대화하네요. 전에 오빠들에 대해 얘기해서 생각났는데 오빠가 직업군인인데 집에서 철없어보이는데 군대 내에 잠깐 들렸을때 다른 군인한테 하는거 보니 군인은 군인이다 생각했거든요. 색다른 모습을 본 것 같았어요.,13392,멋진 직업을 가지고 계시네요. 저의 친오빠도 멋진 직업을 가졌으면 좋겠어요.,아 그렇군요~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 저 오빠 면회 잘 다녀오시고 나중에 연락주세요~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,아 그렇군요~~~ 저 오빠 면회 잘 다녀오시고 나중에 연락주세요~~~
test,4-22109-4,41209,그러실 거에요. 철없어 보여도 자기 일은 하더라고요. ,13392,본인에 일을 열심히 하는 사람들을 보면 멋지다고 그런 사람처럼 되고 싶다는 생각이 들어요 J님도 오빠분을 보며 그런 생각이 드셨나요?,맞아요. 저는 이만 일이 있어서 가볼게요.,맞아요. 저는 이만 일이 있어서 가볼게요.
test,4-22109-4,41209,네 좀 달라보이더라구요. 누구든 무슨일을 하든 그 분야에 전문가면 멋있는 것 같아요. ,13392,저도 제가 좋아하는 분야에 전문가가 되서 오빠분같은 사람이 되고 싶네요.,맞아요 저는 이만 일이 있어서 가볼게요,맞아요 저는 이만 일이 있어서 가볼게요
test,4-22109-4,41209,꼭 되실거에요. 친오빠님은 아직 직장을 안다니는 거세요? 학생이신가요?,13392,감사합니다 네 아직 학생이예요. ,네 저는 대학생이에요! 님은요?,네 저는 대학생이에요! 님은요?
test,4-22109-4,41209,그럼 좋은 직장에 취업하실거에요. 그리고 오빠분이 결혼하셔서 좋은 새언니 만나시면 사이도 좋아지더라구요. ,13392,친오빠가 들으면 좋아하겠네요. 신기하네요 아내앞에서 내숭부리는? 그런건지 아니면 철이 들어서 그런건지,네네 그럴거 같아요~ 저는 이만 일이 있어서 가볼게요~,네네 그럴거 같아요~ 저는 이만 일이 있어서 가볼게요~
test,4-22109-4,41209,아무래도 결혼하면 책임감도 생기고 생각이 좀 바뀌는 것 같아요. ,13392,오... 좋네요 빨리 결혼했으면 좋겠어요.,맞아요 저는 이만 일이 있어서 가볼게요,맞아요 저는 이만 일이 있어서 가볼게요
test,4-30824-4,51263,37시간만이에요. 잘 지내셨죠?,41013,네 잘 지냈어요. 지금도 뉴스를 보고 있는데 요즘 사건사고가 왜이리 많을까요,네 잘 지냈어요. 저는 요즘도 가끔 화가 나네요.,네 잘 지냈어요. 저는 요즘도 가끔 화가 나네요.
test,4-30824-4,51263,에휴 가끔은 뉴스 보기가 겁나요.,41013,맞아요. 오늘은 북한 미사일 때문에 하루종일 난리네요,저는 요즘 매일 짜증이 나요,저는 요즘 매일 짜증이 나요
test,4-30824-4,51263,흠... 이럴땐 우리나라가 휴전국가였다는게 다시 실감이 나곤 해요. 요즘 우크라이나 러시아 전쟁보면서 너무 끔찍하고 안타까운데 너무 무섭네요.,41013,맞아요 요즘 뉴스보면 나라에 무슨일이 생길 것 만 같아서 무섭네요,맞아요.. 전쟁때문에 너무 안타까워요..,맞아요.. 전쟁때문에 너무 안타까워요..
test,4-30824-4,51263,생각해 보면 6.25 전쟁이 우리 부모님 세대가 겪은 전쟁이잖아요. 그리 멀지 않은 과거라 생각하면 우리 모두 많은 것을 잊고 사는건 아닌가 싶어요.,41013,맞아요 그래도 다행히 경보가 취소 되었다고 하네요.,맞아요 저도 그렇게 생각합니다,맞아요 저도 그렇게 생각합니다
test,4-30824-4,51263,아 다행이에요. 혹시 주변 친척이나 지인분중에 군복무중인분  없으세요?,41013,네 아직은 없네요 @이름@님은 있으신가요?,저는 아직 없어요! 님은요?,저는 아직 없어요! 님은요?
test,4-30824-4,51263,저도 아직은 없는데 조카가 몇개월 후에 입대를 할 예정이에요. 이렇게 북한이 들썩일때마다 걱정이 되네요.,41013,군입대 앞둔 지인을 두면 걱정이 많이 되죠 아직 저희아들은 그정도로 크지 않아서 ...,그러게요.. 저도 걱정이 되네요.. 저는 이만 일이 있어서 가볼게요!,그러게요.. 저도 걱정이 되네요.. 저는 이만 일이 있어서 가볼게요!
test,4-18737-4,51642,5일만입니다. 어찌 교환받으셨나요??,51847,반품했어요.검수하고 교환해준다길래 거절했어요.,저는 그냥 받았어요! 님은요?,저는 그냥 받았어요! 님은요?
test,4-18737-4,51642,교환받아도 기분이 별로라 환불이 깔끔하긴 하죠 그래도 환분 받으신다니 다행입니다.,51847,그러게요.제가  후기를 적나라하게 적었더니 후기 삭제 요청까지 하네요.,맞아요! 저는 이만 일이 있어서 가볼게요!,맞아요! 저는 이만 일이 있어서 가볼게요!
test,4-59911-4,10198,누나 5주만에 연락드리네요~ 누나는 이제 거의 일정 끝나셨죠?,26331,네 다녀왔어요! 막 한국 들어옴. 그동안 학생은 방학이었죠? 뭐 하고 지냈어요?,네네! 이제 막 끝났어요! ᄒᄒ 님은요?,네네! 이제 막 끝났어요! ᄒᄒ 님은요?
test,4-59911-4,10198,와 누나 그렇게 시간이 지났네요? 저 가계신줄도 모르고 연락도 못드렸어요 ㅜㅜㅜ 네 저는 방학인데 매번 학교가서 영혼을 불태우면 공부했죠!,26331,ㅋㅋㅋㅋㅋ 방과후 같은 거 하느라 바빴던 건가요? 요새 학생들 진짜 정신 없네...,아이고.. ㅠㅠ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ 누나는 누나는 누나랑 똑같다고 했,아이고.. ㅠㅠ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ 누나는 누나는 누나랑 똑같다고 했
test,4-59911-4,10198,네 다들 무슨 좀비같아요... 저도 그래요. 이제 수능이 1달 남았거든요 ㅜㅜㅜ 너무 떨려요. 누나는 갔다와서 어디 아픈데 없죠?,26331,네 아주 멀쩡~ 근데 가슴은 좀 아파요 전쟁 참사 눈 앞에서 보니 진짜 힘들었음,아이고..ᅲ 누나는 어디가 아프신가요?,아이고..ᅲ 누나는 어디가 아프신가요?
test,4-59911-4,10198,아... 저는 상상도 못하겠어요. 가보니 실제가 더 힘든곳인가봐요!,26331,네. ㅠㅠ 실제로도 힘들고 몸도 무지 힘들어요<u> 근데 성취감은 있음! 전쟁 뉴스 챙겨보게 되더라고요,네. 저는 이만 일이 있어서 가볼게요.,네. 저는 이만 일이 있어서 가볼게요.
test,4-59911-4,10198,저는 현재가 바쁘다고 소식에 좀 무감각해졌어요. 반성하게 되네요. 누난 휴학생이신데 이제 앞으로 뭐하세요? 복학해요?,26331,네 2학기 끝내고 복학할 듯! 제가 학과 알려줬던가요?,저는 아직 학생이에요! ᄒᄒ 저는 요즘 매일 열등감을 느껴서 그런지 요즘 매일 열등감을 느껴요..,저는 아직 학생이에요! ᄒᄒ 저는 요즘 매일 열등감을 느껴서 그런지 요즘 매일 열등감을 느껴요..
test,4-59911-4,10198,아뇨 ? ㅎ 근데 글쓰기 자격증 따셨다기에 그쪽계열일거 같다 생각은 했어요 ㅎ,26331,ㅋㅋㅋㅋ 저 사회학과요. 전쟁에 관심 가질 수밖에 없어~~~~,아하 그렇군요~ 저는 이제 일하러 가봐야겠어요~ 다음에 또 대화해요~,아하 그렇군요~ 저는 이제 일하러 가봐야겠어요~ 다음에 또 대화해요~
test,4-59911-4,10198,나중에 저 학교 들어가면 사회학과에 있는 누나들 중에 누나 있는지 궁금할거 같아요 ㅎ,26331,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠ 그거 신기하겠네요 만나면. 저 시차 때문에 너무 졸려서 이만 자 볼게요. 오늘도 화이팅~,저는 사회학과에 진학하고 싶어서 열심히 공부하고 있어요!,저는 사회학과에 진학하고 싶어서 열심히 공부하고 있어요!
test,4-61315-4,50340,6일이 빠르게 지나갔네요. 잘 지내셨나요?,43895,저는 배를타고  5박6일로 제주도에 다녀왔어요.,네 잘 지냈어요. 저는 요즘에 코로나에 걸려서 격리 중이에요.,네 잘 지냈어요. 저는 요즘에 코로나에 걸려서 격리 중이에요.
test,4-61315-4,50340,그러셨군요. 저는 갑자기 필리핀 여행을 가게 되어 짧게 다녀왔습니다. 제주도 재미있으셨나요?,43895,처음으로 배를 타고 제주도에 가게 되었어요 비행기 타고 가는 것 보다 좋았습니다. 필리핀 여행은 어떠셨나요,네. 저도 제주도 가서 너무 좋았어요.,네. 저도 제주도 가서 너무 좋았어요.
test,4-61315-4,50340,제주도 배 타고 한 번 가봤는데 저도 좋더라고요. 필리핀 여행은 좋았는데 공항에서부터 택시 바가지를 당해서 기분이 별로였습니다.,43895,필리핀 택시를 용 하려면 호텔에서 불러주는 택시를 이용 하셔야 안전 합니다.,아하. 공항까지 비행기를 타셨군요. 저는 비행기 타는 것을 좋아해요.,아하. 공항까지 비행기를 타셨군요. 저는 비행기 타는 것을 좋아해요.
test,4-33838-4,11341,일주일만이네요! 잘 지내셨나요?,32133,네 잘 지내고 있습니다  오늘 외국 파트너와 전화통화할 일이 있었는데 중고등학교 때 배운 영어 단어를 간만에 생각해 냈네요,네 잘 지냈어요~ <unk>이름<unk>은요?,네 잘 지냈어요~ 이름은요?
test,4-33345-4,20598,안녕하세요!! 일주일만이네요~ 잘 지내셨나요?,42009,잘지내셨나요 전 도서관 왔어요,네 잘 지냈어요~! 저는 요즘도 가끔 화가 나네요,네 잘 지냈어요~! 저는 요즘도 가끔 화가 나네요
test,4-33345-4,20598,오늘도 열심히 하시네요. 저도 오늘은 도서관에 왔습니다!!,42009,곧 다가올 시험이 있거든요 도서관은 무료라서 좋아요,네~ 저도 이제 책 좀 읽어야겠어요!,네~ 저도 이제 책 좀 읽어야겠어요!
test,4-13878-4,51344,2일만에 보네요.잘 지냈어요?,22584,네 덕분에요 어떻게 지내셨나요?,네 잘 지냈어요. 요즘도 코로나에 걸리셨나요?,네 잘 지냈어요. 요즘도 코로나에 걸리셨나요?
test,4-13878-4,51344,새로운 공부를 해볼까 해요. @소속@대학교에서요.,22584,정말 멋지시네요. 어떤 공부를 하고 싶으세요?,아~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,아~~~
test,4-13878-4,51344,중소기업을 운영하다보니 경영학과에 대한 갈증이 있었어요.,22584,오 경영 공부를 하고 싶으시군요 저는 이과라 그런지 상경 쪽 전공하신 분들이 되게 멋지더라구요,그렇군요. 경영학과면 전공이 뭐에요?,그렇군요. 경영학과면 전공이 뭐에요?
test,4-55448-4,10216,반갑습니다! ㅋㅋ 2일만이네요. 저는 어제도 영화를 재미있게 보았네요!,20990,정말 좋은데요? 어떤 영화를 보셨는지 궁금해요!,그러게요~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 님은 뭐하고있다~~~~~~~~~~~~~~~~~~~~,그러게요~~~ 님은 뭐하고있다~~~
test,4-55448-4,10216,ㅎㅎ 저는 지금 로멘스 영화를 보는데 이게 장점이 있네요!,20990,"로맨스 영화라니 정말 멋지네요, 어떤 장점이 있을까요?",오~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,오~~~
test,4-55448-4,10216,ㅜㅜ제가 지금 외로움을 느끼고 있는데 이걸 조금 해소해 주네요!,20990,"다행이네요, 저는 다른 영화를 좋아하고 있습니다!",아이고.. ㅠㅠ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ,아이고.. ㅠㅠ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ ᅲ
test,4-24440-4,11130,9일만이네요. 잘 지내셨어요?,11896,안녕하세요 오랜만이네요 저는 잘 지냈어요.,네 잘 지냈어요. 요즘도 코로나에 걸리셨나요?,네 잘 지냈어요. 요즘도 코로나에 걸리셨나요?
test,4-24440-4,11130,담임선생님과 면담은 하셨나요?,11896,네 담임선생님과 면담하고 했어요~,네네 담임선생님과 면담은 했어요,네네 담임선생님과 면담은 했어요
test,4-24440-4,11130,그러셨군요. 어떠셨어요? 담임선생님과 어색하다거 하셨잖아요!,11896,가고싶은 대학교나 학과는 정했는지 물어보시더라고요! <u>그래서 취업이 잘되는 학과로 가고싶다고 하니까 보건계열쪽을 추천해주셨어요,어색하셨군요! 저는 이만 일이 있어서 가볼게요!,어색하셨군요! 저는 이만 일이 있어서 가볼게요!
test,4-03302-4,21998,"J님, 34시간이 금방 흘러갔네요. <u>저는 결국 홈쇼핑으로 압박스타킹을 샀답니다.<u>물리치료사인 언니가 추천해준 제품이 있었는데, 홈쇼핑에서 마침 저렴하게 팔더라고요.",22241,그러셨군요 신어보니 좀 어떠셨어요?,오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오,오오오
test,4-03302-4,21998,"홈쇼핑 쇼 호스트가 하지정맥류에 좋다고 얘기하는 걸 듣고 혹해서 결제했는데, 만족스러운 것 같아요.",22241,만족하신다니 다행이네요 추천받아 사는게 실패확률이 적고 좋은것 같아요~,오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오오,오오오
test,4-03302-4,21998,맞아요~ J님은 최근에 홈쇼핑 하신 것 없나요?,22241,저는 최근에 간장게장을 구매했어요~ 요즘 많이 보이더라고요,저는 최근에 홈쇼핑에서 <unk>브런치를 구매했어요!,저는 최근에 홈쇼핑에서 브런치를 구매했어요!
test,4-03302-4,21998,요즘 날이 선선해져서 해산물 식품이 많이 나오더라고요. 저는 홈쇼핑에 생 굴이 나오면 구매하려고 기다리고 있어요.,22241,와 생굴도 요즘 나오는군요. 구매해보신적 있으세요?,홈쇼핑에 굴이 나오나요? 저는 홈쇼핑에서 굴이 나오나요?,홈쇼핑에 굴이 나오나요? 저는 홈쇼핑에서 굴이 나오나요?
test,4-52224-4,24852,41시간만이네요. 호떡을 맛있게 만들어 드셨나요?,24967,"역시 포장마차에서 파는건 못따라가겠더라구요,",네~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 님은 뭐하고 있었죠?????????????,네~~~ 님은 뭐하고 있었죠???
test,4-40190-4,10202,안녕하세요 1주일만이네요 잘 지내셨어요?,32192,"네 요즘도 저는 일로 매우 바빠서 재밌는 월드컵 구경도 못하고 있네요,ㅠㅠ",네 잘 지냈어요~ <unk>이름<unk>은요?,네 잘 지냈어요~ 이름은요?
test,4-40190-4,10202,저는 그제 잉글랜드 경기를 봤는데 어린 선수들이 정말 잘 하더라구요 ,32192,우리 나라는 H조로 배정을 받았군요<u>우리나라가 이번 월드컵에 16강 진출이 가능한지 궁금하군요,저도 그 경기 봤어요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,저도 그 경기 봤어요!!!
test,4-40190-4,10202,아시아 국가의 반란이라고 하는데 우리나라도 좋은 성적을 기대해요 ,32192,어제 일본이 독일을 이긴걸 보고 놀랐어요,네네 맞아요~ 저는 이만 일이 있어서 가볼게요~,네네 맞아요~ 저는 이만 일이 있어서 가볼게요~
test,4-17963-4,31536,3주만에 뵙네요. 잘 지내셨어요?,22757,네 잘 지냈습니다! 날이 많이 추워졌죠,네 잘 지냈어요. 저는 요즘에 코로나에 걸려서 격리 중이에요.,네 잘 지냈어요. 저는 요즘에 코로나에 걸려서 격리 중이에요.
test,4-17963-4,31536,진짜 그렇네요. 저는 오늘 대학교 때 친구들을 만나고 왔어요,22757,좋은 시간 보내셨네요! 대학 친구들과 친하신가봐요,오~ 친구들이랑 무슨 일로 만나셨나요?,오~ 친구들이랑 무슨 일로 만나셨나요?
test,4-17963-4,31536,교양수업 들으면서 만난 친구들인데 자주 만나요. 교양과목 수업도 들으세요?,22757,좋은 인연이네요! 저는 지난 학기까지 교양 수업은 다 들어서 이제 몇 학점 남지 않았어요! ㅊ엄,네네! 저는 교양과목만 들어요! ᄒᄒ 저는 이만 일이 있어서 가볼게요!,네네! 저는 교양과목만 들어요! ᄒᄒ 저는 이만 일이 있어서 가볼게요!
test,4-17963-4,31536,부지런하시네요. 저는 교양과목으로 골프수업도 들어봤어요,22757,우와 정말 좋은 수업이네요. 요즘도 골프 치시나요? 저는 지난학에 국궁 수업 들었는데 생각보다 힘들었어요,골프수업이라니 멋있네요! 저는 요즘 매일 스트레스를 받아요,골프수업이라니 멋있네요! 저는 요즘 매일 스트레스를 받아요
test,4-17963-4,31536,우와 국궁수업 신기하네요. 골프는 그때로 끝났어요.,22757,그래도 좋은 경험 하셨네요. 저는 교양 수업이 은근 재미가 없었어요. 혹시 부전공도 하셨나요?,네~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,네~~~
test,4-05057-4,41260,"오늘은 대구  날씨가 너무 좋네요, 몇 일동안 춥더니  잘 지내셨는지요?   그리고 어느새 5일만의 대화네요.",41794,"오늘 같은 날씨 너무 좋네요. 벌써 5일이 지났어요. 회사에서 내년 급여 인상 없이 동결하겠다고 발표했어요. 물가는 너무 올랐는데, 어떻하죠?",안녕하세요~ 5일만이네요~ 잘 지내셨나요? 저는 요즘에 감기에 걸려서 고생하고 있어요,안녕하세요~ 5일만이네요~ 잘 지내셨나요? 저는 요즘에 감기에 걸려서 고생하고 있어요
test,4-05057-4,41260,이직 준비중이시니 찬찬히 알아 보시는 게 낫겠죠.  회사 사정도 이해하지만 본인의 사정도 있으니까요.  어떤 계통의 일을 구하시는지요?,41794,네. 저는 현재 무역 회사에 다니고 있지만 이직하고 싶은 분야는 아직 생각 해 보지 않았어요. 남편 분의 회사는 내년 급여에 대한 발표가 있었나요? ,저는 그냥 회사다녀요~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ᄒᄒ 저 그럼 저희 회사다!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,저는 그냥 회사다녀요~~~ ᄒᄒ 저 그럼 저희 회사다!!!
test,4-05057-4,41260,"물어보지는 않았지만,  그곳은 사장님의 마인드가 좋아서  직원들을 잘 챙겨주는 편이랍니다.  그래서 더 열심히 일 하는 분위기더라구요.   아님 저도 맞벌이 해야했구요.  좋은 곳도 있으니 잘 찾아 보시구요.<u>본인의 능력을 인정해 주는 분을 만나면 되는데...  혹시 식사는 하셨는지요?",41794,좋은 분을 만나셨네요. 점심은 먹었는데 저녁 아직 안 먹었습니다. 저는 지금 다니는 회사의 경영 상황이 안 좋은 편입니다.<u>내년에 경기는 더 어려울 것이라고 전망되니 사장님이 걱정이 많으세요.,네 저는 이제 먹으려고요. 제가 좋아하는 딸기를 먹으려고요.,네 저는 이제 먹으려고요. 제가 좋아하는 딸기를 먹으려고요.
test,4-05057-4,41260,그러시군요.  그런경우 감원도 하는데  인상 동결로만 한 것으로 생각합니다.  그런 생각이라면 더 있으실 생각은 있으신지요?,41794,저도 현재 다니는 회사가 불안해서 이직하고 싶지만 새로운 곳을 찾지 못했어요.남편 분이 안정된 회사를 부러워요. <u>남편 분이 안정된 회사를 다니고 계셔 부럽네요. 내년 경기는 어떨 것으로 생각되세요?,네 저는 지금 바쁜 일이 생겨서 나가봐야 할 것 같아요. 다음에 또 대화해요~,네 저는 지금 바쁜 일이 생겨서 나가봐야 할 것 같아요. 다음에 또 대화해요~
