type,sess_id,speaker_1_id,speaker_2_id,query,reply,n_turn,system_response,gen_reply
test,4-18737-4,20370.0,22697.0,5일만입니다. 어찌 교환받으셨나요??<unused1>반품했어요.검수하고 교환해준다길래 거절했어요.,교환받아도 기분이 별로라 환불이 깔끔하긴 하죠 그래도 환분 받으신다니 다행입니다.,4.0,"['', '', '']","['', '', '']"
test,4-59911-4,20370.0,22697.0,누나 5주만에 연락드리네요~ 누나는 이제 거의 일정 끝나셨죠?<unused1>네 다녀왔어요! 막 한국 들어옴. 그동안 학생은 방학이었죠? 뭐 하고 지냈어요?<unused1>와 누나 그렇게 시간이 지났네요? 저 가계신줄도 모르고 연락도 못드렸어요 ㅜㅜㅜ 네 저는 방학인데 매번 학교가서 영혼을 불태우면 공부했죠!<unused1>ㅋㅋㅋㅋㅋ 방과후 같은 거 하느라 바빴던 건가요? 요새 학생들 진짜 정신 없네...<unused1>네 다들 무슨 좀비같아요... 저도 그래요. 이제 수능이 1달 남았거든요 ㅜㅜㅜ 너무 떨려요. 누나는 갔다와서 어디 아픈데 없죠?<unused1>네 아주 멀쩡~ 근데 가슴은 좀 아파요 전쟁 참사 눈 앞에서 보니 진짜 힘들었음<unused1>아... 저는 상상도 못하겠어요. 가보니 실제가 더 힘든곳인가봐요!<unused1>네. ㅠㅠ 실제로도 힘들고 몸도 무지 힘들어요<u> 근데 성취감은 있음! 전쟁 뉴스 챙겨보게 되더라고요,저는 현재가 바쁘다고 소식에 좀 무감각해졌어요. 반성하게 되네요. 누난 휴학생이신데 이제 앞으로 뭐하세요? 복학해요?,4.0,"['좀비가 되었나봐요</s><pad>', '좀비가 되었나봐요..</s>', '좀비가 됐나봐요..</s>']","['좀비가 되었나봐요<s>', '좀비가 되었나봐요..<s>', '좀비가 됐나봐요..<s>']"
test,4-61315-4,20370.0,22697.0,6일이 빠르게 지나갔네요. 잘 지내셨나요?<unused1>저는 배를타고  5박6일로 제주도에 다녀왔어요.<unused1>그러셨군요. 저는 갑자기 필리핀 여행을 가게 되어 짧게 다녀왔습니다. 제주도 재미있으셨나요?<unused1>처음으로 배를 타고 제주도에 가게 되었어요 비행기 타고 가는 것 보다 좋았습니다. 필리핀 여행은 어떠셨나요,제주도 배 타고 한 번 가봤는데 저도 좋더라고요. 필리핀 여행은 좋았는데 공항에서부터 택시 바가지를 당해서 기분이 별로였습니다.,4.0,"['', '', '']","['', '', '']"
test,4-33838-4,20370.0,22697.0,일주일만이네요! 잘 지내셨나요?<unused1>네 잘 지내고 있습니다  오늘 외국 파트너와 전화통화할 일이 있었는데 중고등학교 때 배운 영어 단어를 간만에 생각해 냈네요,일주일만이네요! 잘 지내셨나요?,4.0,"['', '', '']","['', '', '']"
test,4-33345-4,20370.0,22697.0,안녕하세요!! 일주일만이네요~ 잘 지내셨나요?<unused1>잘지내셨나요 전 도서관 왔어요,오늘도 열심히 하시네요. 저도 오늘은 도서관에 왔습니다!!,4.0,"['', '', '']","['', '', '']"
test,4-13878-4,20370.0,22697.0,2일만에 보네요.잘 지냈어요?<unused1>네 덕분에요 어떻게 지내셨나요?<unused1>새로운 공부를 해볼까 해요. @소속@대학교에서요.<unused1>정말 멋지시네요. 어떤 공부를 하고 싶으세요?,중소기업을 운영하다보니 경영학과에 대한 갈증이 있었어요.,4.0,"['', '', '']","['', '', '']"
test,4-55448-4,20370.0,22697.0,"반갑습니다! ㅋㅋ 2일만이네요. 저는 어제도 영화를 재미있게 보았네요!<unused1>정말 좋은데요? 어떤 영화를 보셨는지 궁금해요!<unused1>ㅎㅎ 저는 지금 로멘스 영화를 보는데 이게 장점이 있네요!<unused1>로맨스 영화라니 정말 멋지네요, 어떤 장점이 있을까요?",ㅜㅜ제가 지금 외로움을 느끼고 있는데 이걸 조금 해소해 주네요!,4.0,"['', '', '']","['', '', '']"
test,4-24440-4,20370.0,22697.0,9일만이네요. 잘 지내셨어요?<unused1>안녕하세요 오랜만이네요 저는 잘 지냈어요.<unused1>담임선생님과 면담은 하셨나요?<unused1>네 담임선생님과 면담하고 했어요~,그러셨군요. 어떠셨어요? 담임선생님과 어색하다거 하셨잖아요!,4.0,"['', '', '']","['', '', '']"
test,4-03302-4,20370.0,22697.0,"J님, 34시간이 금방 흘러갔네요. <u>저는 결국 홈쇼핑으로 압박스타킹을 샀답니다.<u>물리치료사인 언니가 추천해준 제품이 있었는데, 홈쇼핑에서 마침 저렴하게 팔더라고요.<unused1>그러셨군요 신어보니 좀 어떠셨어요?<unused1>홈쇼핑 쇼 호스트가 하지정맥류에 좋다고 얘기하는 걸 듣고 혹해서 결제했는데, 만족스러운 것 같아요.<unused1>만족하신다니 다행이네요 추천받아 사는게 실패확률이 적고 좋은것 같아요~<unused1>맞아요~ J님은 최근에 홈쇼핑 하신 것 없나요?<unused1>저는 최근에 간장게장을 구매했어요~ 요즘 많이 보이더라고요",요즘 날이 선선해져서 해산물 식품이 많이 나오더라고요. 저는 홈쇼핑에 생 굴이 나오면 구매하려고 기다리고 있어요.,4.0,"['주문한 것이 있거든요!</s>', '주문한 것이 있거든요</s><pad>', '주문한 것이 있거든요.</s><pad>']","['주문한 것이 있거든요!<s>', '주문한 것이 있거든요<s>', '주문한 것이 있거든요.<s>']"
test,4-52224-4,20370.0,22697.0,"41시간만이네요. 호떡을 맛있게 만들어 드셨나요?<unused1>역시 포장마차에서 파는건 못따라가겠더라구요,",41시간만이네요. 호떡을 맛있게 만들어 드셨나요?,4.0,"['', '', '']","['', '', '']"
test,4-40190-4,20370.0,22697.0,"안녕하세요 1주일만이네요 잘 지내셨어요?<unused1>네 요즘도 저는 일로 매우 바빠서 재밌는 월드컵 구경도 못하고 있네요,ㅠㅠ<unused1>저는 그제 잉글랜드 경기를 봤는데 어린 선수들이 정말 잘 하더라구요 <unused1>우리 나라는 H조로 배정을 받았군요<u>우리나라가 이번 월드컵에 16강 진출이 가능한지 궁금하군요",아시아 국가의 반란이라고 하는데 우리나라도 좋은 성적을 기대해요 ,4.0,"['', '', '']","['', '', '']"
test,4-17963-4,20370.0,22697.0,3주만에 뵙네요. 잘 지내셨어요?<unused1>네 잘 지냈습니다! 날이 많이 추워졌죠<unused1>진짜 그렇네요. 저는 오늘 대학교 때 친구들을 만나고 왔어요<unused1>좋은 시간 보내셨네요! 대학 친구들과 친하신가봐요<unused1>교양수업 들으면서 만난 친구들인데 자주 만나요. 교양과목 수업도 들으세요?<unused1>좋은 인연이네요! 저는 지난 학기까지 교양 수업은 다 들어서 이제 몇 학점 남지 않았어요! ㅊ엄<unused1>부지런하시네요. 저는 교양과목으로 골프수업도 들어봤어요<unused1>우와 정말 좋은 수업이네요. 요즘도 골프 치시나요? 저는 지난학에 국궁 수업 들었는데 생각보다 힘들었어요,우와 국궁수업 신기하네요. 골프는 그때로 끝났어요.,4.0,"['요.</s><pad><pad><pad><pad>', '재밌더라고요</s>', '재밌더라고요.</s>']","['요.<s>', '재밌더라고요<s>', '재밌더라고요.<s>']"
test,4-05057-4,20370.0,22697.0,"오늘은 대구  날씨가 너무 좋네요, 몇 일동안 춥더니  잘 지내셨는지요?   그리고 어느새 5일만의 대화네요.<unused1>오늘 같은 날씨 너무 좋네요. 벌써 5일이 지났어요. 회사에서 내년 급여 인상 없이 동결하겠다고 발표했어요. 물가는 너무 올랐는데, 어떻하죠?<unused1>이직 준비중이시니 찬찬히 알아 보시는 게 낫겠죠.  회사 사정도 이해하지만 본인의 사정도 있으니까요.  어떤 계통의 일을 구하시는지요?<unused1>네. 저는 현재 무역 회사에 다니고 있지만 이직하고 싶은 분야는 아직 생각 해 보지 않았어요. 남편 분의 회사는 내년 급여에 대한 발표가 있었나요? <unused1>물어보지는 않았지만,  그곳은 사장님의 마인드가 좋아서  직원들을 잘 챙겨주는 편이랍니다.  그래서 더 열심히 일 하는 분위기더라구요.   아님 저도 맞벌이 해야했구요.  좋은 곳도 있으니 잘 찾아 보시구요.<u>본인의 능력을 인정해 주는 분을 만나면 되는데...  혹시 식사는 하셨는지요?<unused1>좋은 분을 만나셨네요. 점심은 먹었는데 저녁 아직 안 먹었습니다. 저는 지금 다니는 회사의 경영 상황이 안 좋은 편입니다.<u>내년에 경기는 더 어려울 것이라고 전망되니 사장님이 걱정이 많으세요.",그러시군요.  그런경우 감원도 하는데  인상 동결로만 한 것으로 생각합니다.  그런 생각이라면 더 있으실 생각은 있으신지요?,4.0,"['있어요.</s><pad><pad>', '있어요</s><pad><pad>', '있어요! </s>']","['있어요.<s>', '있어요<s>', '있어요! <s>']"
test,4-56382-4,20370.0,22697.0,"2주 만에 다시 연락 드리네요. 그 동안 별 일 없으셨나요?<unused1>네 잘 지내셨어요? 오랜만에 다시 뵈네요.<unused1>네 저는 잘 지냈어요! 아이들 진로에 대해서는 좀 갈피가 잡히셨는지 궁금하네요 ㅎ<unused1>금방 잡힐거 같진 않아요. 피아노는 좋아해서 아이들이 좋아는거 위주로 일단 계속 시켜보려고 해요. <unused1>맞아요 자기가 좋아하는 일을 직업으로 택하는 게 최고인 것 같아요<unused1>네 맞아요. 저는 어릴적 노래를 나름 잘 한다고 칭찬도 많이 받고 상도 타고 했는데 그 방향으로 이끌어준 분이 안계셨어요<unused1>그러셨군요! 저도 어렸을 적 노래를 좋아했는데 잘 하지는 못했어요. 그래서 가수가 될 생각은 하지도 못했답니다. 혹시 노래 전문 교육을 받았으면 어땠을까 하는 아쉬움이 남네요 ㅎ<unused1>그렇군요. 저도 그런데 ... 그래도 취미로 노래부르는걸 즐길수 있고, 또 이젠 기회가 되면 제가 배울수 있으니 더이상 과거에 연연하지는 않으려고요. ",맞아요 과거에 연연할 필요는 없죠 또 진로는 언제든지 바꿀 수 있다고 생각해요 @이름@님처럼 30대들은 아직 젊으시잖아요,4.0,"['셨거든요</s><pad><pad><pad><pad><pad><pad>', '셔서 정말 뿌듯하더라고요</s>', '셔서 정말 대단하세요</s><pad><pad>']","['셨거든요<s>', '셔서 정말 뿌듯하더라고요<s>', '셔서 정말 대단하세요<s>']"
test,4-72340-4,20370.0,22697.0,안녕하세요.5일만이네요~ 여기는 비가 오고 있어요.<unused1>안녕하세요 잘 지내셨어요? 비가오고나면 갑자기 추워지겠어요<unused1>이제 좀 겨울다워지겠네요. 저는 곧 서울로 올라가는데 서울도 많이 추워지겠죠?<unused1>아무래도 구미랑 서울이랑은 기온차이가 많이 날것같아요! 대전은 언제 가시나요?<unused1>아직 잘 모르겠어요. 왔다갔다 하느라 정신이 없네요.<u>@이름@님이 살고 계신 지역은 날씨가 어떤가요?<unused1>여기는 이상하게 저번보다 조금 더운것같아요 지금은 낮이라서 그럴수도 있구요<unused1>날이 좀 괜찮아지면 잠깐 다른 곳으로 놀러갈까 생각중이었는데 날씨가 오락가락해서 잘 모르겠네요.<unused1>단풍놀이는 다녀오셨어요? 저는 노란색을 좋아해서 그런지 몰라도 은행잎이 너무 이쁘더라구요,저는 단풍놀이 갈 시간이 없어서 노트북들고 카페에서 바깥 구경하고 있어요.,4.0,"['웠던거 같아요.</s><pad>', '웠던거 같아요</s><pad>', '웠던거 같아요. </s>']","['웠던거 같아요.<s>', '웠던거 같아요<s>', '웠던거 같아요. <s>']"
test,4-41891-4,20370.0,22697.0,잘 지내셨나요? 벌써 6주나 흘렀네요~<unused1>네 오랜만이네요. 여전히 공부 잘하고 계시지요.<unused1>네~ 저는 이제 다음주가 수능이라 마지막으로 점검 하고 있어요. <unused1>요즘 고 3들 정말힘들겠네요. 우리딸도 이제 마음잡고 요리학원에 다니고 있어요,아 ㅎㅎ 그러시군요. 걱정 많이 하셨는데 정말 다행이네요. ㅠㅠ ,4.0,"['', '', '']","['', '', '']"
test,4-63090-4,20370.0,22697.0,8일만이네요~ 그간 잘 지내셨어요?<unused1>네~ 저는 수필을 읽으면서 지냈어요,그렇군요. 저는 저번에 말씀해주신 축구단 경기를 봤는데 정말 재밌더라고요. 그래서 요즘은 축구에 빠졌어요.,4.0,"['', '', '']","['', '', '']"
test,4-17215-4,20370.0,22697.0,4주만이네요 오랜만이에요 @이름@님<unused1>오랜만이네요 잘 지내셨나요 그동안<unused1>네 저는 얼마전에 제대를 했습니다<u>@이름@님은 최근에 어떻게 지내셨나요?<unused1>내 저는 아직 군대를 안 가서 제대가 살감이 <u>실감이 안 나요                       <unused1>진짜 눈물이 쏟아질 것 같더라구요 군대는 언제쯤 가실 생각이신가요?<unused1>저는 살을 무지많이 찌워서 공익 준비하고 있습니다<unused1>공익을 목표로 하시는 이유가 힘들어서 그러신가요?<u>그치만 도움되는게 많이 있습니다<unused1>군대를 다녀오시면서 어떤 것을 얻으셨나요,우선 생활습관이 아주 잘 잡히고 식습관도 좋아졌습니다 편식이 많이 줄었어요,4.0,"['안가도 된다고 생각합니다</s><pad><pad>', '안가도 된다고 생각합니다 </s><pad>', '안가도 된다고 생각합니다 하하</s>']","['안가도 된다고 생각합니다<s>', '안가도 된다고 생각합니다 <s>', '안가도 된다고 생각합니다 하하<s>']"
test,4-09961-4,20370.0,22697.0,오랫만입니다. 3주나 됐네요. <unused1>네 시간 정말 빠르네요. 잘 지내셨어요? <unused1>네 저는 잘 지냈어요. 날씨가 많이 쌀쌀해 졌네요<unused1>맞아요 너무 추워요. 요즈음 맛있는 요리나 맛집 tv프로그램이 왜 이렇게 많은지 식욕이 당기네요. <unused1>가을이라 그런가 식욕이 좀 생기는거 같기는 해요. @이름@씨 좋아하신다고 하셨는데 요즘 줄서는 식당이라고 맛집 소개해주는 프로그램 하더라구요. <unused1>오호 그래요? 지금 찾아봐야겠네요. 재밌어요? <unused1>제목 그대로 줄서는 식당이라고 맛집으로 유명해서 MC들도 일반 손님하고 똑같이 줄서서 기다렸다가 들어가서 먹는 프로인데 1시간 이상씩도 대기하고 그러더라구요. <unused1>와 엄청나네요. 지금 찾아 봤는데 먹으러 가고 싶네요. 월요일 저녁마다 하는 프로그램이군요. ,"네, 저렇게까지 기다렸다 먹을 정도인가? 싶다가도 막상 먹는거 보면 한 번 가보고 싶기는 하더라구요. ",4.0,"['것 같아요.</s><pad><pad><pad>', '게 뭐가 있나요</s>', '게 뭐가 있을까요</s>']","['것 같아요.<s>', '게 뭐가 있나요<s>', '게 뭐가 있을까요<s>']"
test,4-44557-4,20370.0,22697.0,14시간이 흘렀네요. 대출금리가 오르니 은행 이자도 올랐습니다]<unused1>반갑습니다. 반나절이 지나버렸네요. 맞아요. 그래서 은행 이자도 나쁘지 않더라구요 ~,14시간이 흘렀네요. 대출금리가 오르니 은행 이자도 올랐습니다],4.0,"['', '', '']","['', '', '']"
test,4-65077-4,20370.0,22697.0,안녕하세요 10일만이네요. 잘 들어가셨어요? 간만에 우유를 마시며 아침드라마를 보니 재미있네요<unused1>벌써 10일이나 지났나요? 시간이 빠르네요. 저는 아침드라마는 막장드라마라는 편견이 있어서 잘 안 보는데 어떤가요?<unused1>맞아요 막장드라마에요 ㅎㅎ 근데 또 이게 그 말이 안되고 가벼운 맛에 보게 되는 것 같네요<unused1>시간 때우기로 생각 없이 보기 좋을 것 같긴 해요<u>저는 요즘 여행이 가고 싶어서 여행 방송들을 많이 보고 있어요. 어디로 가면 좋을지 고민이에요.<unused1>여행 목적을 정하시면 좀 더 찾기 쉬울 것 같아요. 종교가 있다고 하셨으니 그런 쪽으로 봐도 될 것 같고요 맛집을 찾아다녀도 될 것 같고요 예술품을 보러 다녀도 좋을 것 같아요<unused1>그렇지 않아도 순례길을 가장 생각하고 있기는 해요. 하지만 종교 여행은 자주 다녀서 이번엔 색다르게 가보고 싶기도 하구요. 맛집 여행에 흥미가 조금 생기네요 ㅎㅎ<unused1>평소 드셔보고 싶었던 음식으로 찾아서 가셔도 좋을 것 같네요.<u>저는 저번에 말씀드린 커튼콜이 그래도 요새는 제일 재미있네요. 고두심씨 연기 잘하는 거야 알고 있는데 시한부 연기를 하는데 마음이 저미네요.<unused1>@이름@씨는 그런 연기를 정말 잘하시는 것 같아요. 아주 예전에 꽃보다 아름다워 라는 드라마 기억하시나요?<u>거기에서 가슴에 빨간 약 바르는 장면이 지금도 신기할 정도로 마음 아프게 남아있습니다. 진짜 연기자이신 것 같아요.,"제목들은 제가 최근게 아니면 잘 기억이 안나네요. 국민 엄마 국민 며느리 연기에 정말 많이 공감했어요
이번에도 생이별한 남편 가족과 시한부 인생이 너무 마음 아프게 연기를 하네요",4.0,"['</s><pad>', '</s><pad>', '</s>']","['<s>', '<s>', '<s>']"
test,4-44863-4,20370.0,22697.0,6주만이네요. 되게 오랜만이네요. 잘 지내셨나요! <unused1>그럼요! 뭐하고 지내셨어요. 얼마나궁금했는지 아시나요!?<unused1>많이 궁금하셨군요! 저는 아버지가 정비원이셔서 일 도와드렸어요. <unused1>헐! 그러면 용돈좀 주시겠어요? 얼마 받으셧어요?,저희집은 아버지일에 따로 용돈을 받지 않는답니다ㅎ...,4.0,"['', '', '']","['', '', '']"
test,4-12240-4,20370.0,22697.0,벌써 3주가 지났네요.특수 반려동물 키우는 분들이 의외로 많다는걸 p님 덕분에 알았네요 <unused1>맞아요 요즘 진짜 많더라구요. 특수 반려동물로 유튜브 찍는것도 괜찮은 생각인것같아요,요즘 동물 관련 유트브 많이 보시더군요,4.0,"['', '', '']","['', '', '']"
test,4-26792-4,20370.0,22697.0,18시간이 흘렀네요. 뭐하고 계셨나요?<unused1>조깅을 하고 왔어요~ 다이어트 한약을 먹으면서 같이 하니까 살이 잘 빠지는 것 같아요<unused1>오 정말 효과가 있군요. 너무 신기하네요. 저도 한번 가볼까 생각이 드네요.<unused1>네 저도 집에서 영화보면서 먹는게 취미라... 살이 7키로나 쪘었는데 지금 2키로 빠졌어요<unused1>멋져요!! 저는 조경기술자라 외부작업이 많다보니 감기에 걸린 것 같아요..<unused1>엇 약은 드셨나요? 많이 심하지 않으셔야 할텐데요...<unused1>오늘 약을 받아와서 금방 나을 것 같아요^^<unused1>다행이네요~ 요즘 환절기라 감기에 걸리는 분들도 주변에 많은 것 같더라구요 저도 오늘은 반신욕을 하다 자려구요,반신욕을 하면 몸이 따뜻해져서 기분이 참 좋은 것 같아요.,4.0,"['데</s><pad><pad>', '같네요</s>', '데요</s><pad>']","['데<s>', '같네요<s>', '데요<s>']"
test,4-06129-4,20370.0,22697.0,안녕하세요 벌써 일주일이 지났네요<unused1>벌써 그렇게 됐나요. 잘지내셨나요<unused1>네 시간이 참 빠른것같아요! 뭐하고 지내셨나요?<unused1>저는 며칠 전부터 테니스를 배우기 시작했어요<unused1>아 그러셨군요! 요즘도 사회 재난으로 코로나가 사그러들지 않았더라구요 조심하셔야해요<unused1>이제 코로나 재해는 거의 끝나지 않았나요? 야외 마스크 지침도 해제되고 곧 실내도 해제될텐데요<unused1>그래도 재난 문자를 보면 꾸준히 지역사회에서 나오는걸봤어요 <unused1>재난문자는 끊임없이 오네요. 공무원들도 고생이 많겠어요,실내마스크 해제는 내년 3월이라고는 하는데 아직 멀어서 말이 바뀌기에 충분한 시간이라고 생각해요,4.0,"['보시나요</s><pad><pad><pad>', '자가 계속 울리고 있어요</s>', '자가 계속 울리고있어요</s>']","['보시나요<s>', '자가 계속 울리고 있어요<s>', '자가 계속 울리고있어요<s>']"
test,4-57895-4,20370.0,22697.0,3일이 지났네요~! 저번에 부루마블은 재밌게 하셨나요?<unused1>네! 3일동안 어떻게 지내셨나요?<unused1>저는 시험공부하면서 지냈네요~! 오늘은 뭐 하시고 있나요?<unused1>저는 오늘 좋아하는 보드게임을 또 하려고 해요 ㅎㅎ 이래서 부모님께 죄책감이 드네요 ㅠㅠ<unused1>ㅠㅠ 그럼 적당히 하세요! 저는 오늘은 시험공부 한다고 좀 피곤하네요ㅠ <unused1>그렇군요! 저도 사학과 진학하려면 공부해야 하는데 걱정이네요 ㅠㅠ<unused1>보드게임을 자주해서 공부하는데 좀 방해가 되죠?ㅠ<unused1>네... 그래서 요즘 부모님이 걱정을 많이하시네요 ㅠㅠ,그럼 성적이 좀 많이 내려간건가요?ㅠ,4.0,"['</s><pad>', '</s><pad>', '</s>']","['<s>', '<s>', '<s>']"
